cycle,alive,total_births,total_deaths,total_food,avg_energy,max_energy,avg_children
1,3,0,0,60480.766,1999.95,1999.95,0.0
51,46,44,0,584505.9,152.15767,479.5791,0.9565217391304348
101,63,61,0,1.1085244e+06,110.07973,477.76965,0.9682539682539683
151,63,61,0,1.6325608e+06,107.59574,475.43018,0.9682539682539683
201,63,61,0,2.1565975e+06,105.11127,473.0707,0.9682539682539683
251,63,61,0,2.680634e+06,102.62759,470.73123,0.9682539682539683
301,61,61,2,3.204671e+06,103.495964,468.4218,1.0
351,61,61,2,3.7287072e+06,101.01248,466.1624,1.0
401,61,61,2,4.252744e+06,98.529,463.903,1.0
451,61,61,2,4.776793e+06,96.04502,461.64362,1.0
501,49,61,14,5.3008415e+06,116.856834,459.38422,1.2040816326530612
551,49,61,14,5.8248915e+06,114.3766,457.09482,1.2040816326530612
601,49,61,14,6.348939e+06,111.8972,454.83542,1.2040816326530612
651,49,61,14,6.8729895e+06,109.41781,452.54602,1.2040816326530612
701,49,61,14,7.397037e+06,106.93776,450.28662,1.2040816326530612
751,49,61,14,7.9210875e+06,104.45813,448.02722,1.2040816326530612
801,49,61,14,8.445134e+06,101.978745,445.76782,1.2040816326530612
851,49,61,14,8.969186e+06,99.49848,443.47842,1.2040816326530612
901,33,61,30,9.493232e+06,144.24739,441.21902,1.4848484848484849
951,33,61,30,1.0017282e+07,141.7771,438.92963,1.4848484848484849
1001,32,61,31,1.054133e+07,143.66278,436.67023,1.46875
1051,32,61,31,1.1065382e+07,141.19312,434.41083,1.46875
1101,32,61,31,1.158943e+07,138.72336,432.15143,1.46875
1151,32,61,31,1.2113478e+07,136.25578,429.89203,1.46875
1201,32,61,31,1.2637526e+07,133.78735,427.60263,1.46875
1251,32,61,31,1.3161578e+07,131.31897,425.34323,1.46875
1301,32,61,31,1.3685627e+07,128.85057,423.05383,1.46875
1351,32,61,31,1.4209672e+07,126.37997,420.79443,1.46875
1401,32,61,31,1.4733722e+07,123.91247,418.53503,1.46875
1451,32,61,31,1.5257774e+07,121.44278,416.27563,1.46875
1501,32,61,31,1.5781823e+07,118.974365,413.98624,1.46875
1551,32,61,31,1.6305868e+07,116.50687,411.72684,1.46875
1601,32,61,31,1.682992e+07,114.03752,409.43744,1.46875
1651,32,61,31,1.7353968e+07,111.56786,407.17804,1.46875
1701,32,61,31,1.787802e+07,109.09942,404.91864,1.46875
1751,26,61,37,1.8402064e+07,131.37398,402.65924,1.3076923076923077
1801,26,61,37,1.8926116e+07,128.914,400.39984,1.3076923076923077
1851,26,61,37,1.9450164e+07,126.452835,398.11044,1.3076923076923077
1901,26,61,37,1.9974216e+07,123.99175,395.85104,1.3076923076923077
1951,26,61,37,2.049826e+07,121.53061,393.56165,1.3076923076923077
2001,26,61,37,2.1022316e+07,119.066765,391.30225,1.3076923076923077
2051,26,61,37,2.154636e+07,116.60677,389.04285,1.3076923076923077
2101,25,61,38,2.2070408e+07,118.80629,386.78345,1.24
2151,25,61,38,2.2594458e+07,116.34669,384.49405,1.24
2201,25,61,38,2.3118508e+07,113.88829,382.23465,1.24
2251,25,61,38,2.3642552e+07,111.42748,379.94525,1.24
2301,25,61,38,2.4166608e+07,108.966286,377.68585,1.24
2351,25,61,38,2.469065e+07,106.50669,375.42645,1.24
2401,25,61,38,2.5214708e+07,104.04549,373.16705,1.24
2451,16,61,47,2.5738752e+07,158.99484,370.90765,1.9375
2501,16,61,47,2.6262796e+07,156.55795,368.61826,1.9375
2551,16,61,47,2.6786852e+07,154.12106,366.35886,1.9375
2601,15,61,48,2.73109e+07,161.91006,364.06946,2.0
2651,15,61,48,2.783494e+07,159.47269,361.81006,2.0
2701,15,61,48,2.8359e+07,157.04205,359.55066,2.0
2751,15,61,48,2.8883042e+07,154.61139,357.29126,2.0
2801,15,61,48,2.94071e+07,152.17871,355.00186,2.0
2851,15,61,48,2.9931144e+07,149.74805,352.74246,2.0
2901,15,61,48,3.0455188e+07,147.30869,350.45306,2.0
2951,15,61,48,3.0979246e+07,144.87804,348.19366,2.0
3001,15,61,48,3.1503292e+07,142.4407,345.93427,2.0
3051,15,61,48,3.2027332e+07,140.01003,343.67487,2.0
3101,15,61,48,3.2551392e+07,137.57936,341.41547,2.0
3151,15,61,48,3.3075434e+07,135.1467,339.12607,2.0
3201,15,61,48,3.3599476e+07,132.70938,336.86667,2.0
3251,15,61,48,3.412344e+07,130.27669,334.57727,2.0
3301,15,61,48,3.4647384e+07,127.839355,332.31787,2.0
3351,15,61,48,3.517133e+07,125.4087,330.05847,2.0
3401,15,61,48,3.569529e+07,122.97803,327.79907,2.0
3451,15,61,48,3.6219236e+07,120.54536,325.50967,2.0
3501,15,61,48,3.674318e+07,118.11468,323.25027,2.0
3551,15,61,48,3.7267124e+07,115.67537,320.96088,2.0
3601,15,61,48,3.779107e+07,113.2448,318.70148,2.0
3651,15,61,48,3.831503e+07,110.80759,316.44208,2.0
3701,15,61,48,3.8838976e+07,108.377045,314.18268,2.0
3751,15,61,48,3.936292e+07,105.94655,311.92328,2.0
3801,15,61,48,3.988688e+07,103.51401,309.63388,2.0
3851,15,61,48,4.0410824e+07,101.0768,307.37448,2.0
3901,15,61,48,4.0934772e+07,98.644295,305.08508,2.0
3951,15,61,48,4.1458724e+07,96.207085,302.82568,2.0
4001,15,61,48,4.1982664e+07,93.77656,300.56628,2.0
4051,15,61,48,4.2506624e+07,91.34603,298.3069,2.0
4101,15,61,48,4.3030576e+07,88.913506,296.0175,2.0
4151,15,61,48,4.355451e+07,86.48298,293.7581,2.0
4201,15,61,48,4.407847e+07,84.043785,291.4687,2.0
4251,15,61,48,4.4602416e+07,81.61326,289.2093,2.0
4301,15,61,48,4.5126364e+07,79.17604,286.9499,2.0
4351,15,61,48,4.5650316e+07,76.74553,284.6905,2.0
4401,15,61,48,4.6174256e+07,74.315025,282.4311,2.0
4451,15,61,48,4.6698216e+07,71.882484,280.1417,2.0
4501,15,61,48,4.722215e+07,69.445305,277.8823,2.0
4551,15,61,48,4.7746104e+07,67.01275,275.5929,2.0
4601,15,61,48,4.8270068e+07,64.57543,273.3335,2.0
4651,15,61,48,4.8794004e+07,62.14477,271.0741,2.0
4701,15,61,48,4.9317956e+07,59.71412,268.8147,2.0
4751,15,61,48,4.9841908e+07,57.281475,266.5253,2.0
4801,15,61,48,5.036585e+07,54.850826,264.2659,2.0
4851,4,61,59,5.088981e+07,197.18402,261.9765,3.75
4901,4,61,59,5.141376e+07,194.94409,259.7171,3.75
4951,4,61,59,5.1937696e+07,192.67918,257.4577,3.75
