cycle,alive,total_births,total_deaths,total_food,avg_energy,max_energy,avg_age,max_children,genome_diversity
1,5,0,0,132088.97,2999.98,2999.98,1.0,0,1
251,63,59,0,1.3229185e+07,436.10043,1536.768,221.984126984127,3,1
501,63,59,0,2.6326222e+07,432.096,1534.0153,471.984126984127,3,1
751,63,59,0,3.94232e+07,428.07907,1531.3126,721.984126984127,3,1
1001,63,59,0,5.252017e+07,424.07584,1528.5599,971.984126984127,3,1
1251,63,59,0,6.5617136e+07,420.06763,1525.8573,1221.984126984127,3,1
1501,63,59,0,7.8715e+07,416.0636,1523.1046,1471.984126984127,3,1
1751,63,59,0,9.181298e+07,412.04254,1520.402,1721.984126984127,3,1
2001,63,59,0,1.0485699e+08,408.04428,1517.6493,1971.984126984127,3,1
2251,63,59,0,1.048571e+08,404.03204,1514.9467,2221.9841269841268,3,1
2501,63,59,0,1.048571e+08,400.0235,1512.194,2471.9841269841268,3,1
2751,63,59,0,1.048571e+08,396.01245,1509.4913,2721.9841269841268,3,1
3001,63,59,0,1.048571e+08,392.00357,1506.7386,2971.9841269841268,3,1
3251,63,59,0,1.048571e+08,387.99863,1503.986,3221.9841269841268,3,1
3501,63,59,0,1.048571e+08,383.9814,1501.2833,3471.9841269841268,3,1
3751,63,59,0,1.048571e+08,379.9773,1498.5306,3721.9841269841268,3,1
4001,59,59,4,1.048571e+08,401.63022,1495.828,3972.728813559322,3,1
4251,59,59,4,1.048571e+08,397.693,1493.0753,4222.728813559322,3,1
4501,59,59,4,1.048571e+08,393.73724,1490.3727,4472.728813559322,3,1
4751,59,59,4,1.048571e+08,389.80582,1487.62,4722.728813559322,3,1
5001,59,59,4,1.048571e+08,385.8589,1484.9174,4972.728813559322,3,1
5251,59,59,4,1.048571e+08,381.91617,1482.1647,5222.728813559322,3,1
5501,59,59,4,1.048571e+08,377.97122,1479.462,5472.728813559322,3,1
5751,59,59,4,1.048571e+08,374.03,1476.7094,5722.728813559322,3,1
6001,59,59,4,1.048571e+08,370.0929,1473.9567,5972.728813559322,3,1
6251,59,59,4,1.048571e+08,366.1425,1471.254,6222.728813559322,3,1
6501,59,59,4,1.048571e+08,362.20618,1468.5013,6472.728813559322,3,1
6751,59,59,4,1.048571e+08,358.26495,1465.7987,6722.728813559322,3,1
7001,59,59,4,1.048571e+08,354.3279,1463.046,6972.728813559322,3,1
7251,59,59,4,1.048571e+08,350.37228,1460.3434,7222.728813559322,3,1
7501,59,59,4,1.048571e+08,346.44128,1457.5907,7472.728813559322,3,1
7751,47,59,16,1.048571e+08,430.05966,1454.8881,7725.978723404255,3,1
8001,42,59,21,1.048571e+08,477.6153,1452.1354,7976.833333333333,3,1
8251,42,59,21,1.048571e+08,474.09775,1449.4327,8226.833333333334,3,1
8501,42,59,21,1.048571e+08,470.5851,1446.68,8476.833333333334,3,1
8751,42,59,21,1.048571e+08,467.0783,1443.9274,8726.833333333334,3,1
9001,42,59,21,1.048571e+08,463.5525,1441.2247,8976.833333333334,3,1
9251,42,59,21,1.048571e+08,460.0475,1438.472,9226.833333333334,3,1
9501,42,59,21,1.048571e+08,456.53558,1435.7694,9476.833333333334,3,1
9751,42,59,21,1.048571e+08,453.02972,1433.0167,9726.833333333334,3,1
10001,42,59,21,1.048571e+08,449.4975,1430.3141,9976.833333333334,3,1
10251,42,59,21,1.048571e+08,445.99982,1427.5614,10226.833333333334,3,1
10501,42,59,21,1.048571e+08,442.4807,1424.8588,10476.833333333334,3,1
10751,42,59,21,1.048571e+08,438.9675,1422.1061,10726.833333333334,3,1
11001,42,59,21,1.048571e+08,435.45084,1419.4034,10976.833333333334,3,1
11251,42,59,21,1.048571e+08,431.93884,1416.6508,11226.833333333334,3,1
11501,42,59,21,1.048571e+08,428.43295,1413.8981,11476.833333333334,3,1
11751,42,59,21,1.048571e+08,424.90778,1411.1954,11726.833333333334,3,1
12001,42,59,21,1.048571e+08,421.40295,1408.4427,11976.833333333334,3,1
12251,42,59,21,1.048571e+08,417.89108,1405.7401,12226.833333333334,3,1
12501,42,59,21,1.048571e+08,414.38486,1402.9874,12476.833333333334,3,1
12751,42,59,21,1.048571e+08,410.8522,1400.2848,12726.833333333334,3,1
13001,42,59,21,1.048571e+08,407.355,1397.5321,12976.833333333334,3,1
13251,42,59,21,1.048571e+08,403.83746,1394.8295,13226.833333333334,3,1
13501,42,59,21,1.048571e+08,400.3259,1392.0768,13476.833333333334,3,1
13751,42,59,21,1.048571e+08,396.81064,1411.1274,13726.833333333334,3,1
14001,42,59,21,1.048571e+08,393.30008,1430.8748,13976.833333333334,3,1
14251,42,59,21,1.048571e+08,389.79547,1451.1721,14226.833333333334,3,1
14501,42,59,21,1.048571e+08,386.27182,1470.9194,14476.833333333334,3,1
14751,41,59,22,1.048571e+08,392.17596,1491.2168,14726.975609756097,3,1
15001,41,59,22,1.048571e+08,388.70154,1510.9641,14976.975609756097,3,1
15251,41,59,22,1.048571e+08,385.2333,1531.2615,15226.975609756097,3,1
15501,33,59,30,1.048571e+08,474.406,1551.0088,15480.0,3,1
15751,25,59,38,1.048571e+08,623.55505,1571.3062,15731.44,3,1
16001,25,59,38,1.048571e+08,621.0454,1591.0535,15981.44,3,1
16251,25,59,38,1.048571e+08,618.5436,1610.8008,16231.44,3,1
16501,25,59,38,1.048571e+08,616.0394,1631.0981,16481.44,3,1
16751,25,59,38,1.048571e+08,613.54175,1650.8455,16731.44,3,1
17001,25,59,38,1.048571e+08,611.0539,1671.1428,16981.44,3,1
17251,25,59,38,1.048571e+08,608.5341,1690.8901,17231.44,3,1
17501,25,59,38,1.048571e+08,606.04834,1711.1875,17481.44,3,1
17751,25,59,38,1.048571e+08,603.5502,1730.9348,17731.44,3,1
18001,25,59,38,1.048571e+08,601.06244,1751.2322,17981.44,3,1
18251,25,59,38,1.048571e+08,598.53033,1770.9795,18231.44,3,1
18501,25,59,38,1.048571e+08,596.0559,1791.2769,18481.44,3,1
18751,25,59,38,1.048571e+08,593.54565,1811.0242,18731.44,3,1
19001,25,59,38,1.048571e+08,591.04315,1830.7715,18981.44,3,1
19251,25,59,38,1.048571e+08,588.53876,1851.0688,19231.44,3,1
19501,25,59,38,1.048571e+08,586.0403,1870.8162,19481.44,3,1
